0:0:0:0:0:0:0:1 - - [21/Sep/2017:15:50:36 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Sep/2017:15:50:47 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Sep/2017:16:14:53 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2209
0:0:0:0:0:0:0:1 - - [21/Sep/2017:16:15:29 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2209
0:0:0:0:0:0:0:1 - - [21/Sep/2017:16:15:43 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2209
0:0:0:0:0:0:0:1 - - [21/Sep/2017:17:22:05 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Sep/2017:17:22:07 +0530] "GET /ecommerce1/login HTTP/1.1" 200 3419
0:0:0:0:0:0:0:1 - - [21/Sep/2017:17:22:25 +0530] "POST /ecommerce1/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Sep/2017:17:22:26 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2209
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:17:50 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:17:50 +0530] "GET /ecommerce1/login HTTP/1.1" 200 3419
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:17:53 +0530] "POST /ecommerce1/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:18:07 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2161
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:19:17 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2108
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:20:55 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2149
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:21:46 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2218
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:23:13 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2333
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:23:37 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2358
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:23:47 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2358
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:24:16 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2406
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:24:18 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2406
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:24:39 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2344
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:25:03 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2362
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:26:29 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2387
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:27:38 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2387
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:29:21 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2455
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:30:18 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2387
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:31:56 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2427
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:32:49 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2431
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:33:10 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2431
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:33:55 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2431
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:34:52 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2431
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:35:17 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2445
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:35:32 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2441
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:36:30 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2441
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:39:18 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2525
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:40:16 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2513
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:40:37 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2513
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:40:59 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2513
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:41:17 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2549
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:48:45 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2599
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:49:12 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2633
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:50:02 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2685
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:50:24 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2685
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:50:39 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2685
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:50:58 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2687
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:51:12 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2685
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:51:16 +0530] "GET /ecommerce1/user/placeOrder HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:51:18 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2685
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:51:29 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2687
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:51:47 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2687
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:52:02 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2687
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:52:15 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2687
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:52:26 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2687
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:52:35 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2687
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:52:53 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2687
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:53:04 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2687
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:53:15 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2687
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:53:33 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2687
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:53:42 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2687
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:54:27 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2702
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:54:54 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2648
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:55:24 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2688
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:55:42 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2648
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:56:35 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2662
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:57:07 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2714
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:57:40 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2706
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:57:58 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2672
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:58:21 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2693
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:58:50 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2657
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:59:27 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2712
0:0:0:0:0:0:0:1 - - [21/Sep/2017:18:59:59 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2752
0:0:0:0:0:0:0:1 - - [21/Sep/2017:19:00:44 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2738
0:0:0:0:0:0:0:1 - - [21/Sep/2017:19:02:00 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2785
0:0:0:0:0:0:0:1 - - [21/Sep/2017:19:04:28 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2887
0:0:0:0:0:0:0:1 - - [21/Sep/2017:19:05:14 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2908
0:0:0:0:0:0:0:1 - - [21/Sep/2017:19:05:51 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2934
0:0:0:0:0:0:0:1 - - [21/Sep/2017:19:06:08 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2949
