0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:45:17 -0700] "GET /ecommerce1/admin/product HTTP/1.1" 200 6941
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:45:22 -0700] "HEAD /ecommerce1/admin/product HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:45:22 -0700] "GET /ecommerce1/login HTTP/1.1" 200 3955
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:45:22 -0700] "HEAD /ecommerce1/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:45:22 -0700] "GET /ecommerce1/login HTTP/1.1" 200 3955
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:46:07 -0700] "POST /ecommerce1/admin/productsubmit HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:46:11 -0700] "GET /ecommerce1/admin/product HTTP/1.1" 200 6941
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:46:16 -0700] "GET /ecommerce1/lamborgini HTTP/1.1" 200 11876
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:46:17 -0700] "GET /ecommerce1/resources/images/product/aventador-coupe-facebook-og.jpg HTTP/1.1" 200 60318
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:46:37 -0700] "GET /ecommerce1/user/addCart/107 HTTP/1.1" 403 1036
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:46:44 -0700] "HEAD /ecommerce1/user/addCart/107 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:46:44 -0700] "GET /ecommerce1/login HTTP/1.1" 200 3955
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:46:44 -0700] "HEAD /ecommerce1/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:46:44 -0700] "GET /ecommerce1/login HTTP/1.1" 200 3955
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:46:45 -0700] "GET /ecommerce1/lamborgini HTTP/1.1" 200 11876
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:46:48 -0700] "GET /ecommerce1/admin/product HTTP/1.1" 200 6941
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:46:52 -0700] "GET /ecommerce1/ HTTP/1.1" 200 9064
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:46:52 -0700] "GET /ecommerce1/home1.jsp HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:46:54 -0700] "HEAD /ecommerce1/ HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:46:54 -0700] "GET /ecommerce1/ HTTP/1.1" 200 8314
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:46:57 -0700] "GET /ecommerce1/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:46:57 -0700] "GET /ecommerce1/ HTTP/1.1" 200 8314
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:46:57 -0700] "GET /ecommerce1/home1.jsp HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:47:05 -0700] "GET /ecommerce1/registerpage HTTP/1.1" 200 4619
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:47:05 -0700] "GET /ecommerce1/registerpage HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:47:07 -0700] "HEAD /ecommerce1/registerpage HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:47:07 -0700] "GET /ecommerce1/registerpage HTTP/1.1" 200 4619
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:47:16 -0700] "GET /ecommerce1/ HTTP/1.1" 200 8314
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:47:16 -0700] "GET /ecommerce1/home1.jsp HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:47:19 -0700] "GET /ecommerce1/user/view/cart HTTP/1.1" 302 -
