127.0.0.1 - - [25/Sep/2017:01:43:19 -0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [25/Sep/2017:01:43:23 -0700] "GET /ecommerce1/ HTTP/1.1" 200 8314
0:0:0:0:0:0:0:1 - - [25/Sep/2017:01:43:23 -0700] "GET /ecommerce1/home1.jsp HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [25/Sep/2017:01:43:23 -0700] "GET /ecommerce1/resources/images/lamborgini.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:01:43:23 -0700] "GET /ecommerce1/resources/images/047.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:01:43:23 -0700] "GET /ecommerce1/resources/images/bokert.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:01:43:24 -0700] "HEAD /ecommerce1/ HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:01:43:24 -0700] "GET /ecommerce1/ HTTP/1.1" 200 8314
0:0:0:0:0:0:0:1 - - [25/Sep/2017:01:43:25 -0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [25/Sep/2017:01:58:10 -0700] "GET /ecommerce1/login HTTP/1.1" 200 3955
0:0:0:0:0:0:0:1 - - [25/Sep/2017:01:58:13 -0700] "HEAD /ecommerce1/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:01:58:13 -0700] "GET /ecommerce1/login HTTP/1.1" 200 3955
0:0:0:0:0:0:0:1 - - [25/Sep/2017:01:58:16 -0700] "POST /ecommerce1/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:01:58:16 -0700] "GET /ecommerce1/ HTTP/1.1" 200 8771
0:0:0:0:0:0:0:1 - - [25/Sep/2017:01:58:16 -0700] "GET /ecommerce1/home1.jsp HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [25/Sep/2017:01:58:37 -0700] "GET /ecommerce1/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:01:58:37 -0700] "GET /ecommerce1/ HTTP/1.1" 200 8314
0:0:0:0:0:0:0:1 - - [25/Sep/2017:01:58:37 -0700] "GET /ecommerce1/home1.jsp HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [25/Sep/2017:01:58:40 -0700] "GET /ecommerce1/login HTTP/1.1" 200 3955
0:0:0:0:0:0:0:1 - - [25/Sep/2017:01:59:11 -0700] "POST /ecommerce1/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:01:59:11 -0700] "GET /ecommerce1/ HTTP/1.1" 200 8771
0:0:0:0:0:0:0:1 - - [25/Sep/2017:01:59:11 -0700] "GET /ecommerce1/home1.jsp HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [25/Sep/2017:01:59:21 -0700] "GET /ecommerce1/lamborgini HTTP/1.1" 200 9742
0:0:0:0:0:0:0:1 - - [25/Sep/2017:01:59:21 -0700] "GET /ecommerce1/resources/images/product/lamborgini.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:01:59:21 -0700] "GET /ecommerce1/resources/images/product/4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:01:59:21 -0700] "GET /ecommerce1/resources/images/product/images3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:01:59:21 -0700] "GET /ecommerce1/resources/images/product/index12.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2017:01:59:21 -0700] "GET /ecommerce1/resources/images/product/index1.jpg HTTP/1.1" 304 -
