0:0:0:0:0:0:0:1 - - [09/Oct/2017:08:39:19 -0700] "GET /ecommerce1/user/addCart/75 HTTP/1.1" 200 4514
0:0:0:0:0:0:0:1 - - [09/Oct/2017:08:39:21 -0700] "GET /ecommerce1/lamborgini HTTP/1.1" 200 11583
0:0:0:0:0:0:0:1 - - [09/Oct/2017:08:39:26 -0700] "GET /ecommerce1/ HTTP/1.1" 200 8772
0:0:0:0:0:0:0:1 - - [09/Oct/2017:08:39:27 -0700] "GET /ecommerce1/home1.jsp HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [09/Oct/2017:08:39:32 -0700] "HEAD /ecommerce1/ HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Oct/2017:08:39:32 -0700] "GET /ecommerce1/ HTTP/1.1" 200 8315
0:0:0:0:0:0:0:1 - - [09/Oct/2017:08:39:33 -0700] "GET /ecommerce1/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Oct/2017:08:39:33 -0700] "GET /ecommerce1/ HTTP/1.1" 200 8315
0:0:0:0:0:0:0:1 - - [09/Oct/2017:08:39:33 -0700] "GET /ecommerce1/home1.jsp HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [09/Oct/2017:08:39:36 -0700] "GET /ecommerce1/registerpage HTTP/1.1" 200 4619
0:0:0:0:0:0:0:1 - - [09/Oct/2017:08:39:38 -0700] "HEAD /ecommerce1/registerpage HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Oct/2017:08:39:38 -0700] "GET /ecommerce1/registerpage HTTP/1.1" 200 4619
0:0:0:0:0:0:0:1 - - [09/Oct/2017:08:39:43 -0700] "GET /ecommerce1/ HTTP/1.1" 200 8315
0:0:0:0:0:0:0:1 - - [09/Oct/2017:08:39:44 -0700] "GET /ecommerce1/home1.jsp HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [09/Oct/2017:08:39:48 -0700] "GET /ecommerce1/login HTTP/1.1" 200 3955
0:0:0:0:0:0:0:1 - - [09/Oct/2017:08:39:54 -0700] "HEAD /ecommerce1/login HTTP/1.1" 200 -
